No dump file specified
 num     #instances         #bytes  class name (module)
 209:           102           2448  java.util.Collections$SetFromMap (java.base@15.0.1)
 210:            60           2400  java.io.ObjectStreamField (java.base@15.0.1)
 211:           100           2400  java.util.concurrent.ConcurrentHashMap$MapEntry (java.base@15.0.1)
 212:            75           2400  java.util.zip.ZipFile$CleanableResource (java.base@15.0.1)
 213:            59           2360  java.security.ProtectionDomain (java.base@15.0.1)
 214:           147           2352  io.smallrye.common.expression.Expression$$Lambda$54/0x0000000800bc9980
 215:            97           2328  sun.reflect.generics.visitor.Reifier (java.base@15.0.1)
 216:            28           2304  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@15.0.1)
 217:            96           2304  sun.reflect.generics.parser.SignatureParser (java.base@15.0.1)
 218:            41           2296  java.security.Provider$Service (java.base@15.0.1)
 219:           142           2272  java.util.concurrent.atomic.AtomicInteger (java.base@15.0.1)
 220:            39           2184  [Ljava.util.regex.Pattern$GroupHead; (java.base@15.0.1)
 221:            38           2128  io.netty.channel.DefaultChannelHandlerContext
 222:            38           2128  java.util.stream.ReferencePipeline$Head (java.base@15.0.1)
 223:            53           2120  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle (java.base@15.0.1)
 224:            66           2112  java.io.RandomAccessFile (java.base@15.0.1)
 225:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@15.0.1)
 226:            88           2112  java.util.regex.Pattern$GroupHead (java.base@15.0.1)
 227:            88           2112  java.util.regex.Pattern$GroupTail (java.base@15.0.1)
 228:            88           2112  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@15.0.1)
 229:            88           2112  jdk.internal.org.objectweb.asm.Edge (java.base@15.0.1)
 230:             2           2096  [Lsun.security.util.KnownOIDs; (java.base@15.0.1)
 231:            64           2048  io.netty.handler.codec.CodecOutputList
 232:           128           2048  java.lang.Character (java.base@15.0.1)
 233:            64           2048  sun.reflect.generics.repository.ClassRepository (java.base@15.0.1)
 234:            85           2040  java.util.Collections$UnmodifiableRandomAccessList (java.base@15.0.1)
 235:            30           2000  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 236:           125           2000  jdk.internal.reflect.ConstantPool (java.base@15.0.1)
 237:            49           1960  org.jboss.logmanager.FastCopyHashMap$ValueIterator
 238:           122           1952  java.lang.ref.ReferenceQueue$Lock (java.base@15.0.1)
 239:           121           1936  java.util.LinkedHashSet (java.base@15.0.1)
 240:            60           1920  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@15.0.1)
 241:            79           1896  java.lang.Class$AnnotationData (java.base@15.0.1)
 242:            59           1888  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@15.0.1)
 243:            47           1880  java.util.TreeMap$Entry (java.base@15.0.1)
 244:            26           1872  io.vertx.ext.web.impl.RouteState
 245:            56           1792  io.netty.handler.codec.http.HttpResponseStatus
 246:            74           1776  java.util.zip.ZipFile$Source$Key (java.base@15.0.1)
 247:            55           1760  java.nio.file.attribute.FileTime (java.base@15.0.1)
 248:            55           1760  java.util.concurrent.ConcurrentHashMap$ForwardingNode (java.base@15.0.1)
 249:            27           1728  java.nio.DirectByteBuffer (java.base@15.0.1)
 250:            43           1720  java.lang.invoke.DirectMethodHandle$Special (java.base@15.0.1)
 251:            41           1640  java.security.AccessControlContext (java.base@15.0.1)
 252:            51           1632  io.smallrye.config.SmallRyeConfig$ConfigSourceInterceptorWithPriority
 253:            51           1632  java.lang.invoke.SimpleMethodHandle (java.base@15.0.1)
 254:            67           1608  java.lang.RuntimePermission (java.base@15.0.1)
 255:            66           1584  java.lang.ProcessEnvironment$Value (java.base@15.0.1)
 256:             1           1568  [[B (java.base@15.0.1)
 257:            98           1568  io.smallrye.config.SmallRyeConfig$$Lambda$75/0x0000000800bf94d0
 258:            48           1536  jdk.internal.loader.BuiltinClassLoader$1 (java.base@15.0.1)
 259:            48           1536  org.jboss.resteasy.core.providerfactory.SortedKey
 260:            64           1536  sun.reflect.generics.tree.ClassSignature (java.base@15.0.1)
 261:            38           1520  java.util.IdentityHashMap (java.base@15.0.1)
 262:            17           1496  sun.nio.ch.EPollSelectorImpl (java.base@15.0.1)
 263:            60           1440  java.lang.module.ResolvedModule (java.base@15.0.1)
 264:            60           1440  java.util.ImmutableCollections$SetN$SetNIterator (java.base@15.0.1)
 265:            60           1440  jdk.internal.module.SystemModuleFinders$2 (java.base@15.0.1)
 266:            60           1440  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@15.0.1)
 267:            59           1416  java.lang.invoke.InvokerBytecodeGenerator$ClassData (java.base@15.0.1)
 268:            59           1416  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@15.0.1)
 269:            16           1408  io.vertx.core.http.impl.HttpServerImpl
 270:            44           1408  java.util.ImmutableCollections$ListItr (java.base@15.0.1)
 271:            64           1400  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@15.0.1)
 272:             3           1400  [[Ljava.lang.Object; (java.base@15.0.1)
 273:            35           1400  java.math.BigDecimal (java.base@15.0.1)
 274:            87           1392  java.util.Collections$SingletonSet (java.base@15.0.1)
 275:            58           1392  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@15.0.1)
 276:            42           1344  io.quarkus.arc.impl.RemovedBeanImpl
 277:            21           1344  io.vertx.core.impl.EventLoopContext
 278:            59           1312  [Ljava.lang.annotation.Annotation; (java.base@15.0.1)
 279:             9           1296  [Ljava.lang.invoke.MemberName; (java.base@15.0.1)
 280:            54           1296  io.smallrye.config.SmallRyeConfigSourceInterceptorContext
 281:            54           1296  java.lang.module.ModuleDescriptor$Provides (java.base@15.0.1)
 282:            54           1296  sun.reflect.annotation.AnnotationParser$1 (java.base@15.0.1)
 283:            39           1280  [Ljava.math.BigInteger; (java.base@15.0.1)
 284:            16           1280  io.vertx.core.net.impl.SSLHelper
 285:            40           1280  javax.ws.rs.core.Response$Status
 286:            79           1264  java.util.HashMap$KeySet (java.base@15.0.1)
 287:            12           1248  sun.net.www.protocol.file.FileURLConnection (java.base@15.0.1)
 288:            76           1216  java.util.WeakHashMap$KeySet (java.base@15.0.1)
 289:            30           1200  java.lang.invoke.DirectMethodHandle$Accessor (java.base@15.0.1)
 290:            37           1184  java.util.TreeMap$EntryIterator (java.base@15.0.1)
 291:            74           1184  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@15.0.1)
 292:            49           1176  java.security.Permissions (java.base@15.0.1)
 293:            73           1168  java.util.HashMap$EntrySet (java.base@15.0.1)
 294:            64           1152  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@15.0.1)
 295:            48           1152  java.lang.invoke.InnerClassLambdaMetafactory$1 (java.base@15.0.1)
 296:            48           1152  java.security.BasicPermissionCollection (java.base@15.0.1)
 297:            48           1152  java.security.Provider$UString (java.base@15.0.1)
 298:            48           1152  sun.security.util.LazyCodeSourcePermissionCollection (java.base@15.0.1)
 299:            47           1128  java.util.regex.Pattern$$Lambda$13/0x0000000800b56980 (java.base@15.0.1)
 300:            28           1120  io.vertx.core.http.impl.headers.VertxHttpHeaders$MapEntry
 301:            46           1104  java.util.jar.Manifest (java.base@15.0.1)
 302:            67           1072  java.util.regex.Pattern$BitClass (java.base@15.0.1)
 303:            66           1056  [Ljava.lang.reflect.Parameter; (java.base@15.0.1)
 304:            44           1056  java.util.Arrays$ArrayList (java.base@15.0.1)
 305:             1           1040  [Ljava.lang.Byte; (java.base@15.0.1)
 306:             1           1040  [Ljava.lang.Integer; (java.base@15.0.1)
 307:             1           1040  [Ljava.lang.Long; (java.base@15.0.1)
 308:             1           1040  [Ljava.lang.Short; (java.base@15.0.1)
 309:            16           1024  io.quarkus.vertx.http.runtime.VertxHttpRecorder$WebDeploymentVerticle
 310:            32           1024  io.vertx.core.http.impl.HttpServerImpl$HttpStreamHandler
 311:            47           1008  [Ljava.lang.reflect.TypeVariable; (java.base@15.0.1)
 312:            18           1008  io.vertx.core.http.Http2Settings
 313:            42           1008  io.vertx.core.impl.TaskQueue
 314:            18           1008  java.util.ServiceLoader (java.base@15.0.1)
 315:            42           1008  java.util.regex.Pattern$BmpCharPropertyGreedy (java.base@15.0.1)
 316:            42           1008  org.jboss.resteasy.core.MediaTypeMap$Entry
 317:            42           1008  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@15.0.1)
 318:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@15.0.1)
 319:            31            992  java.util.regex.Pattern$Branch (java.base@15.0.1)
 320:            30            960  java.security.Provider$EngineDescription (java.base@15.0.1)
 321:            30            960  java.util.concurrent.ConcurrentHashMap$ReservationNode (java.base@15.0.1)
 322:            59            944  [Ljava.security.Principal; (java.base@15.0.1)
 323:            59            944  java.lang.invoke.LambdaFormEditor (java.base@15.0.1)
 324:            59            944  java.security.ProtectionDomain$Key (java.base@15.0.1)
 325:            39            936  io.quarkus.arc.impl.LazyValue
 326:            39            936  java.util.regex.Pattern$Start (java.base@15.0.1)
 327:            39            936  jdk.internal.util.jar.JarIndex (java.base@15.0.1)
 328:            58            928  jdk.internal.module.SystemModuleFinders$3 (java.base@15.0.1)
 329:            38            904  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@15.0.1)
 330:            28            896  io.netty.channel.ChannelOption
 331:            16            896  io.vertx.core.impl.DeploymentManager$$Lambda$133/0x0000000800c97648
 332:            16            896  io.vertx.core.impl.DeploymentManager$$Lambda$160/0x0000000800cc7028
 333:            34            864  [Ljava.util.regex.Pattern$Node; (java.base@15.0.1)
 334:            36            864  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 335:            27            864  java.net.InetAddress$InetAddressHolder (java.base@15.0.1)
 336:            36            864  java.util.regex.Pattern$CharProperty (java.base@15.0.1)
 337:            36            864  org.slf4j.impl.Slf4jLogger
 338:            36            864  org.slf4j.impl.Slf4jLoggerFactory$1
 339:             9            864  sun.net.www.protocol.jar.URLJarFile$URLJarFileEntry (java.base@15.0.1)
 340:             2            856  [[Ljava.lang.String; (java.base@15.0.1)
 341:             6            840  [D (java.base@15.0.1)
 342:            35            840  java.util.concurrent.atomic.AtomicLong (java.base@15.0.1)
 343:            35            840  java.util.regex.Pattern$BmpCharPredicate$$Lambda$14/0x0000000800b56c08 (java.base@15.0.1)
 344:             8            832  io.netty.handler.timeout.IdleStateHandler
 345:            13            832  io.netty.util.Recycler$Stack
 346:            34            816  io.vertx.core.impl.EventLoopContext$$Lambda$134/0x0000000800c97870
 347:            17            816  java.lang.invoke.LambdaFormEditor$Transform (java.base@15.0.1)
 348:            33            792  io.quarkus.arc.impl.ArcContainerImpl$Resolvable
 349:            33            792  io.quarkus.arc.impl.ComputingCache$1
 350:            33            792  java.time.Duration (java.base@15.0.1)
 351:            33            792  java.util.regex.Pattern$CharPropertyGreedy (java.base@15.0.1)
 352:            33            792  java.util.regex.Pattern$TreeInfo (java.base@15.0.1)
 353:             9            792  sun.net.www.protocol.jar.JarURLConnection (java.base@15.0.1)
 354:            49            784  java.util.Collections$UnmodifiableCollection (java.base@15.0.1)
