No dump file specified
 num     #instances         #bytes  class name (module)
 115:           253           4048  java.security.SecureClassLoader$CodeSourceKey (java.base@15.0.1)
 116:           167           4008  java.util.ImmutableCollections$SetN (java.base@15.0.1)
 117:           123           3936  java.lang.invoke.MethodHandles$Lookup (java.base@15.0.1)
 118:           164           3936  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@15.0.1)
 119:            70           3920  java.lang.Module (java.base@15.0.1)
 120:           122           3904  io.netty.util.internal.LongAdderCounter
 121:            60           3840  java.lang.module.ModuleDescriptor (java.base@15.0.1)
 122:           160           3840  sun.reflect.annotation.AnnotationInvocationHandler (java.base@15.0.1)
 123:            59           3776  jdk.internal.org.objectweb.asm.SymbolTable (java.base@15.0.1)
 124:           152           3648  java.util.ImmutableCollections$List12 (java.base@15.0.1)
 125:            89           3560  io.micronaut.context.DefaultMethodInjectionPoint
 126:            42           3552  [Ljava.lang.invoke.MethodHandle; (java.base@15.0.1)
 127:            34           3536  java.lang.invoke.InnerClassLambdaMetafactory (java.base@15.0.1)
 128:           143           3432  java.util.regex.Pattern$BmpCharProperty (java.base@15.0.1)
 129:           140           3360  java.time.LocalDate (java.base@15.0.1)
 130:            60           3360  jdk.internal.module.ModuleReferenceImpl (java.base@15.0.1)
 131:            37           3256  java.util.regex.Pattern (java.base@15.0.1)
 132:            66           3168  jdk.internal.org.objectweb.asm.AnnotationWriter (java.base@15.0.1)
 133:           180           2880  java.util.Collections$UnmodifiableSet (java.base@15.0.1)
 134:           120           2880  java.util.concurrent.CopyOnWriteArrayList (java.base@15.0.1)
 135:            32           2816  sun.nio.ch.EPollSelectorImpl (java.base@15.0.1)
 136:             7           2632  java.util.concurrent.ForkJoinWorkerThread (java.base@15.0.1)
 137:            78           2496  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 138:             8           2496  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@15.0.1)
 139:           104           2496  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@15.0.1)
 140:           103           2472  [[C (java.base@15.0.1)
 141:            15           2400  io.netty.buffer.PoolArena$DirectArena
 142:            15           2400  io.netty.buffer.PoolArena$HeapArena
 143:            97           2328  io.micronaut.context.DefaultMethodInjectionPoint$MethodAnnotationMetadata
 144:            57           2280  io.micronaut.context.DefaultConstructorInjectionPoint
 145:            57           2280  java.io.ObjectStreamField (java.base@15.0.1)
 146:            94           2256  java.lang.Class$AnnotationData (java.base@15.0.1)
 147:            84           2216  [Lio.micronaut.core.annotation.AnnotationClassValue;
 148:            67           2144  io.micronaut.http.HttpStatus
 149:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@15.0.1)
 150:           128           2048  java.lang.Character (java.base@15.0.1)
 151:            84           2016  java.util.regex.Pattern$$Lambda$117/0x0000000800b83d60 (java.base@15.0.1)
 152:            83           1992  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@15.0.1)
 153:            82           1968  java.util.Collections$UnmodifiableRandomAccessList (java.base@15.0.1)
 154:            35           1960  java.nio.HeapByteBuffer (java.base@15.0.1)
 155:           113           1952  [Lsun.reflect.generics.tree.TypeArgument; (java.base@15.0.1)
 156:            48           1920  jdk.internal.org.objectweb.asm.Handler (java.base@15.0.1)
 157:            59           1888  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@15.0.1)
 158:            47           1880  java.lang.invoke.DirectMethodHandle$Accessor (java.base@15.0.1)
 159:            76           1824  java.util.regex.Pattern$GroupTail (java.base@15.0.1)
 160:            56           1792  io.netty.handler.codec.http.HttpResponseStatus
 161:            56           1792  java.lang.invoke.MethodHandles$Lookup$ClassDefiner (java.base@15.0.1)
 162:            74           1776  java.util.regex.Pattern$GroupHead (java.base@15.0.1)
 163:            74           1776  sun.reflect.generics.factory.CoreReflectionFactory (java.base@15.0.1)
 164:            74           1776  sun.reflect.generics.scope.ClassScope (java.base@15.0.1)
 165:            72           1728  java.util.ArrayDeque (java.base@15.0.1)
 166:            34           1632  jdk.internal.org.objectweb.asm.ClassReader (java.base@15.0.1)
 167:            68           1632  jdk.internal.org.objectweb.asm.Edge (java.base@15.0.1)
 168:           101           1616  sun.reflect.generics.tree.ClassTypeSignature (java.base@15.0.1)
 169:           100           1600  jdk.internal.reflect.ConstantPool (java.base@15.0.1)
 170:            64           1592  [Ljdk.internal.org.objectweb.asm.Type; (java.base@15.0.1)
 171:            66           1584  java.lang.ProcessEnvironment$Value (java.base@15.0.1)
 172:            66           1584  java.lang.ProcessEnvironment$Variable (java.base@15.0.1)
 173:            33           1584  java.time.temporal.ValueRange (java.base@15.0.1)
 174:            66           1584  sun.reflect.generics.visitor.Reifier (java.base@15.0.1)
 175:             1           1568  [[B (java.base@15.0.1)
 176:            65           1560  io.micronaut.context.AbstractBeanDefinition$BeanAnnotationMetadata
 177:            65           1560  sun.reflect.generics.parser.SignatureParser (java.base@15.0.1)
 178:            27           1512  java.util.stream.ReferencePipeline$Head (java.base@15.0.1)
 179:            60           1440  java.lang.module.ResolvedModule (java.base@15.0.1)
 180:            60           1440  jdk.internal.module.SystemModuleFinders$2 (java.base@15.0.1)
 181:            60           1440  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@15.0.1)
 182:            57           1368  io.micronaut.context.BeanRegistration
 183:            57           1368  java.lang.RuntimePermission (java.base@15.0.1)
 184:            16           1360  [Ljava.util.WeakHashMap$Entry; (java.base@15.0.1)
 185:            56           1344  java.lang.invoke.MethodHandles$Lookup$ClassFile (java.base@15.0.1)
 186:             9           1296  [Ljava.lang.invoke.MemberName; (java.base@15.0.1)
 187:            54           1296  java.lang.module.ModuleDescriptor$Provides (java.base@15.0.1)
 188:            39           1280  [Ljava.math.BigInteger; (java.base@15.0.1)
 189:            40           1280  java.util.regex.Pattern$Branch (java.base@15.0.1)
 190:            31           1240  java.lang.ref.Finalizer (java.base@15.0.1)
 191:            22           1232  java.lang.invoke.InvokerBytecodeGenerator (java.base@15.0.1)
 192:            38           1216  java.util.PropertyPermission (java.base@15.0.1)
 193:            25           1200  java.lang.invoke.LambdaFormEditor$Transform (java.base@15.0.1)
 194:            30           1200  java.time.temporal.ChronoField (java.base@15.0.1)
 195:            40           1184  [Ljava.util.regex.Pattern$Node; (java.base@15.0.1)
 196:            29           1160  java.math.BigDecimal (java.base@15.0.1)
 197:            20           1152  [Ljava.lang.reflect.Field; (java.base@15.0.1)
 198:            36           1152  java.lang.invoke.VarHandle$AccessDescriptor (java.base@15.0.1)
 199:            34           1088  io.netty.util.concurrent.DefaultPromise
 200:            34           1088  java.lang.ref.WeakReference (java.base@15.0.1)
 201:            34           1088  java.util.LinkedList (java.base@15.0.1)
 202:            27           1080  java.time.format.DateTimeFormatterBuilder (java.base@15.0.1)
 203:            33           1056  java.util.concurrent.CountDownLatch$Sync (java.base@15.0.1)
 204:             1           1040  [Ljava.lang.Byte; (java.base@15.0.1)
 205:             1           1040  [Ljava.lang.Integer; (java.base@15.0.1)
 206:             1           1040  [Ljava.lang.Long; (java.base@15.0.1)
 207:             1           1040  [Ljava.lang.Short; (java.base@15.0.1)
 208:            26           1040  io.micronaut.http.MediaType
 209:            43           1032  java.util.regex.Pattern$Slice (java.base@15.0.1)
 210:            42           1008  sun.reflect.annotation.AnnotationParser$1 (java.base@15.0.1)
 211:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@15.0.1)
 212:            31            992  java.lang.ref.ReferenceQueue (java.base@15.0.1)
 213:            41            984  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@15.0.1)
 214:            61            976  java.util.regex.Pattern$$Lambda$104/0x0000000800b807e8 (java.base@15.0.1)
 215:            40            960  io.netty.buffer.LongPriorityQueue
 216:            15            960  java.util.stream.ReferencePipeline$3 (java.base@15.0.1)
 217:            58            928  jdk.internal.module.SystemModuleFinders$3 (java.base@15.0.1)
 218:            38            912  io.netty.util.internal.logging.LocationAwareSlf4JLogger
 219:            57            912  java.util.concurrent.atomic.AtomicInteger (java.base@15.0.1)
 220:            28            896  io.netty.channel.ChannelOption
 221:            14            896  java.nio.DirectByteBuffer (java.base@15.0.1)
 222:             3            888  [[Ljava.lang.String; (java.base@15.0.1)
 223:            27            872  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@15.0.1)
 224:            53            848  java.util.Optional (java.base@15.0.1)
 225:            35            840  [Ljava.lang.invoke.MethodHandles$Lookup$ClassOption; (java.base@15.0.1)
 226:            21            840  java.lang.invoke.DirectMethodHandle$Interface (java.base@15.0.1)
 227:            35            832  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@15.0.1)
 228:            34            816  java.lang.invoke.ConstantCallSite (java.base@15.0.1)
 229:            34            816  java.lang.invoke.InfoFromMemberName (java.base@15.0.1)
 230:            34            816  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator (java.base@15.0.1)
 231:            34            816  java.util.ImmutableCollections$Set12$1 (java.base@15.0.1)
 232:            20            800  java.security.AccessControlContext (java.base@15.0.1)
 233:            14            784  io.netty.channel.DefaultChannelHandlerContext
